   ,CODE,NAME,NAME,SHORT_NAME
67,1251.8,"Будівлі підприємств будівельної індустрії, будівельних матеріалів та виробів, скляної та фарфоро-фаянсової промисловості.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
68,1251.4,Будівлі підприємств легкої промисловості.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
69,1271.8,Будівлі підприємств лісівництва та звірівництва.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
70,1251.7,"Будівлі підприємств лісової, деревообробної та целюлозно-паперової промисловості.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
71,1251.1,Будівлі підприємств машинобудування та металообробної промисловості.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
72,1251.6,Будівлі підприємств медичної та мікробіологічної промисловості.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
73,1230.6,Будівлі підприємств побутового обслуговування.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
74,1251.5,Будівлі підприємств харчової промисловості.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
75,1251.3,Будівлі підприємств хімічної та нафтохімічної промисловості.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
76,1251.2,Будівлі підприємств чорної металургії.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
77,125,Будівлі промислові та склади.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
78,1251,"Будівлі промислові.<br><i>Цей клас включає:</i><br><ul><li>криті будівлі промислового призначення, наприклад, фабрики, майстерні, бойні, пивоварні заводі, складальні підприємства та т. ін. за їх функціонильним призначенням.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>резервуари, силоси та склади (12.52);</li><li>будівлі сільськогосподарського призначення (12.71);</li><li>комплексні промислові споруди (електростанції, нафтопереробні заводи та т. ін.), які не мають характеристик будівель (23.0).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
79,1263.4,Будівлі професійно-технічних навчальних закладів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
80,1271.7,Будівлі рибного господарства.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
81,1271.4,Будівлі силосні та сінажні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
82,1271.9,Будівлі сільськогосподарського призначення інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
83,1271,"Будівлі сільськогосподарського призначення, лісівництва та рибного господарства.<br><i>Цей клас включає:</i><br><ul><li>будівлі для використання в сільськогосподарській діяльності, наприклад, корівники, стайні, свинарники, кошари, кінні заводи, собачі розплідники, птахофабрики, зерносховища, склади та надвірні будівлі, підвали, винокурні, винні ємності, теплиці, сільськогосподарські силоси та т. ін.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>споруди зоологічних та ботанічних садів (24.12).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
84,1263.6,Будівлі спеціальних навчальних закладів для дітей з фізичними або розумовими вадами.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
85,1241.6,Будівлі станцій підвісних та канатних доріг.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
86,1271.6,Будівлі тепличного господарства.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
87,123,Будівлі торговельні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
88,1230.9,Будівлі торговельні інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
